iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	tn93:kappaPur	tn93:kappaPyr	tn93:pi[A]	tn93:pi[C]	tn93:pi[G]	tn93:pi[U]	scale	scale*|T|	|A|	|T|	|indels|	posterior	prior
27	-2855.9874341060918	59	724	1.8046839393411245	0.026571118672921477	59	724	-2855.9874341060918	-432.1753641606118	160	109	1.1066397114801334	2.549399848867787	0.2544772032312084	0.26815600696616065	0.2606397210132258	0.2167270687894052	7.567958186436495	8.604928959435279	160	1.1370212080263964	109	-3261.282720300041	-405.2952861939493
28	-2829.560839797081	55	715	2.4246879453115953	0.03369004971083916	55	715	-2829.560839797081	-411.41013186841064	160	111	1.3321117566454845	2.4171824311274808	0.2432191122463205	0.27220541328566383	0.2645756243902391	0.21999985007777656	6.653127637564243	7.938734565347899	160	1.1932334681999768	111	-3218.5608964008998	-389.00005660381885
29	-2829.2883104365974	54	716	2.227938885740703	0.029853045096897665	54	716	-2829.2883104365974	-398.9591294102227	155	103	1.2511176549962844	2.5999785318123005	0.23918871295053462	0.26769468016159687	0.26019132498064096	0.2329252819072275	6.10991480416066	7.520199294993649	155	1.2308190107450647	103	-3205.7120878894566	-376.42377745285927
30	-2826.816745917456	57	712	1.9143014275288608	0.03286285869424468	57	712	-2826.816745917456	-421.7466053889639	162	116	1.3097451748705555	2.116019479873554	0.2409984182220984	0.2724663659725531	0.24945801626561984	0.23707719953972867	6.942451714621536	7.906615203401529	162	1.138879394256263	116	-3220.289511177218	-393.47276525976224
31	-2817.8468373255864	62	712	2.0846292638726833	0.034761651685591824	62	712	-2817.8468373255864	-448.3534039829133	163	119	1.443044152123031	2.4334163977753356	0.24458961126286768	0.23503224574157597	0.2851877884216967	0.2351903545738596	6.703028434756872	7.511775002603875	163	1.1206539067704757	119	-3235.086393890154	-417.2395565645675
32	-2824.1886273131267	58	718	1.8938566082676849	0.038933724001923756	58	718	-2824.1886273131267	-438.6295238710103	162	116	1.5162766537509154	2.2876151579179416	0.24458961126286768	0.23503224574157597	0.2851877884216967	0.2351903545738596	6.432857244600953	7.2527423016732095	162	1.1274527050573646	116	-3235.9166200417603	-411.7279927286337
33	-2838.7575469911517	59	729	1.7370711461565358	0.038662130811907114	59	729	-2838.7575469911517	-426.31991952291213	158	109	1.3736353677074562	2.6477288566902843	0.23811591592409248	0.2370464186685101	0.2876317829498466	0.23720588245755075	8.279633194039402	7.627304152661354	158	0.9212128090592628	109	-3229.9577113837004	-391.2001643925485
34	-2803.2226260190823	67	704	1.6660999090272512	0.03790592160338197	67	704	-2803.2226260190823	-479.03199120855834	167	121	1.5137008322974765	2.478064183070761	0.24252621175099906	0.23567423508719154	0.28596677736888865	0.23583277579292067	5.683419359509383	7.505894355156473	167	1.3206652334386977	121	-3263.8331651427266	-460.6105391236441
35	-2826.3974703906238	67	706	1.763576094944797	0.035325752205520373	67	706	-2826.3974703906238	-463.04653563907465	164	112	1.4646811294400328	2.8467079581194095	0.25133208865305834	0.2329344461527624	0.2826423214224854	0.23309114377169396	5.559997249183456	7.612301161621271	164	1.3691195913341894	112	-3272.071712879103	-445.6742424884791
36	-2831.4023739230297	62	710	1.9767825045613274	0.036846083032750096	62	710	-2831.4023739230297	-445.3980570833101	168	120	1.4044438057179143	2.6156755983395814	0.25907355852133007	0.24010923631122644	0.2913482014655665	0.20946900370187704	7.749273223063919	7.639729732330789	168	0.9858640303961539	120	-3235.58673282964	-404.1843589066101
37	-2818.925021873727	64	712	1.78877540049261	0.03557339365436475	64	712	-2818.925021873727	-453.4112207103841	166	117	1.4435749053801057	2.425419432507312	0.2563810172421124	0.23761379048503192	0.29871319166771687	0.20729200060513892	4.708170550130813	7.084027996422098	166	1.5046243378386692	117	-3253.8542702440996	-434.9292483703724
38	-2844.544778264989	60	716	1.8235549560119817	0.034875887081958434	60	716	-2844.544778264989	-430.13742432881855	160	110	1.4341433498082379	2.973496456723535	0.2567704445065372	0.23645577192655848	0.2991669189456959	0.2076068646212083	7.470151103204509	7.394889101979716	160	0.9899249693634031	110	-3244.452874938143	-399.9080966731541
39	-2831.512926195376	57	711	1.98139677560826	0.02774708971742884	57	711	-2831.512926195376	-417.2497119931945	160	109	1.4395888052454178	3.1178575129908332	0.25702938157191324	0.23669422290479142	0.2994686102256182	0.20680778529767704	9.404975685894986	7.540036204277695	160	0.8017071448239665	109	-3209.576419909254	-378.0634937138781
40	-2830.3854727270154	60	709	2.2800436006501346	0.03618838165379484	60	709	-2830.3854727270154	-443.2362330172976	164	118	1.2473782513085854	3.0007296184301344	0.2595397735567657	0.2367613176353248	0.29794399566456653	0.20575491314334293	7.214820247355574	7.442493353304529	164	1.0315563102258027	118	-3248.0414718170296	-417.65599909001435
41	-2835.7098121916256	62	717	1.918697495142256	0.03005039895557122	62	717	-2835.7098121916256	-447.3182733516717	166	120	1.3641163124385138	3.202942208230189	0.2551917827081852	0.25571759407067335	0.28930301808565617	0.19978760513548527	7.7065117083242445	8.179684332469588	166	1.0613990664069508	120	-3253.5961108529727	-417.8862986613469
42	-2856.9476948324586	61	719	1.9061496245666145	0.03127169324805472	61	719	-2856.9476948324586	-433.7441071071411	163	112	1.192880819561602	2.356977946447513	0.2434968559049659	0.25553483378790637	0.29632881363091074	0.2046394966762171	6.314054564407337	7.835726052712878	163	1.240997519546835	112	-3270.280152495819	-413.33245766336057
43	-2818.0543503690087	59	705	1.9737165018013496	0.03658057936105127	59	705	-2818.0543503690087	-437.905544686013	165	116	1.1889970306781432	2.5172459911817384	0.24615180544068088	0.24741761420392044	0.29955981241832597	0.20687076793707276	6.740427754652513	7.807653678907662	165	1.1583320767021805	116	-3234.349579493892	-416.2952291248835
44	-2837.430747798835	59	712	2.001717613599989	0.032369412856632744	59	712	-2837.430747798835	-419.2129821265476	158	103	1.2484153914351408	2.7394958845402297	0.24615180544068088	0.24741761420392044	0.29955981241832597	0.20687076793707276	6.781720582255351	7.737743802586395	158	1.1409706001206417	103	-3227.9814234357495	-390.5506756369145
45	-2848.4774396099083	63	725	1.669368372854862	0.031115840282986817	63	725	-2848.4774396099083	-439.4149108291349	160	107	1.0974423413526484	2.459764851995553	0.267397625995231	0.2013843570258951	0.3092733178269456	0.22194469915192833	5.750328937355386	7.703375113735545	160	1.3396407749290213	107	-3268.1065065623875	-419.6290669524793
46	-2842.283869530865	58	720	2.1864509486908146	0.028776341881543734	58	720	-2842.283869530865	-422.9800412170166	161	108	1.3978362062001153	2.554701599521405	0.2771621013056098	0.20268858165305578	0.31127626325721913	0.2088730537841153	6.18270837880647	7.629871414983034	161	1.2340661968041795	108	-3239.0388353118274	-396.75496578096227
47	-2839.574289601097	61	725	1.895779512095555	0.03056859534576691	61	725	-2839.574289601097	-433.19869823300684	158	106	1.007903660149508	2.3365408967027173	0.259479912776365	0.23618621379532953	0.2665572904665042	0.23777658296180124	5.742797321983766	7.713338114515967	158	1.3431325679889232	106	-3251.6791766364177	-412.1048870353205
48	-2828.2149762754316	63	712	1.653596223423476	0.03303321476606487	63	712	-2828.2149762754316	-447.01008190708944	162	110	1.114374588682086	2.154391834484482	0.259479912776365	0.23618621379532953	0.2665572904665042	0.23777658296180124	6.482943822515956	7.7167199825503685	162	1.1903110984471863	110	-3247.986356763829	-419.77138048839726
49	-2789.071682432467	69	699	2.0240286395188942	0.03037305730095401	69	699	-2789.071682432467	-485.412931240251	167	121	1.3500521124798777	2.2722112771160363	0.26273133225313294	0.24552975151551198	0.2698973931997907	0.22184152303156435	6.739912771461378	7.6686537885032795	167	1.137797186482063	121	-3246.801825702191	-457.730143269724
50	-2831.572068218346	56	711	1.636145512111871	0.03498753144258992	56	711	-2831.572068218346	-410.9947215790553	156	99	1.5666263821980262	2.7693079981031627	0.2483771341603593	0.25049019203425904	0.2750532810050742	0.22607939280030742	7.6292458588328325	7.998389153489603	156	1.0483852927913433	99	-3210.4203582631458	-378.8482900447998
51	-2827.150519069839	58	711	1.7081028832272218	0.02404816153523365	58	711	-2827.150519069839	-429.92461630269236	159	105	1.1633638046714567	2.007885694788453	0.2483771341603593	0.25049019203425904	0.2750532810050742	0.22607939280030742	6.3216985765851215	7.778639490182977	159	1.2304666848549541	105	-3228.4758035500176	-401.32528448017854
52	-2836.451949316026	59	717	1.8914220388447371	0.03369000344582766	59	717	-2836.451949316026	-431.1968980697631	159	107	1.2397124677266673	1.9884048162717223	0.23321547258633796	0.2490810209441567	0.29289595805485963	0.22480754841464579	8.124780088632425	7.125089895846849	159	0.8769578767818877	107	-3225.5995286737502	-389.1475793577244
53	-2833.682990912597	58	708	2.457875691459122	0.03575592400585254	58	708	-2833.682990912597	-434.6254716395635	164	114	1.2976191914206188	1.9577985930849802	0.23321547258633796	0.2490810209441567	0.29289595805485963	0.22480754841464579	5.6958536898426155	7.884672595780962	164	1.3842828529534834	114	-3245.640240735185	-411.95724982258855
54	-2834.1867116653743	56	711	2.487739580256659	0.04153386580955	56	711	-2834.1867116653743	-420.0563406268796	164	113	1.3766664111242652	2.371791782542235	0.219834108562285	0.2534278011589046	0.2980073645788353	0.22873072569997516	7.112796037110355	7.678427192862771	164	1.0795230388726582	113	-3216.4217399235126	-382.23502825813824
55	-2843.5377548142023	54	721	2.1842637850402653	0.024039360714152344	54	721	-2843.5377548142023	-405.15422328669246	163	108	1.6509051399339287	2.410143362881255	0.21241863893506996	0.2786112610925605	0.2879549456199519	0.22101515435241761	7.057922090360849	7.405266870539565	163	1.0492134619413116	108	-3210.324332246418	-366.78657743221584
56	-2840.4230116659883	55	720	2.1912550106929456	0.024139769256863626	55	720	-2840.4230116659883	-415.4818897724213	164	112	1.6522240472413208	2.434238103612284	0.21241863893506996	0.2786112610925605	0.2879549456199519	0.22101515435241761	6.4521384385923195	8.056715368762367	164	1.2486891664587596	112	-3223.3135465295895	-382.89053486360126
57	-2839.611008834701	50	715	2.3641425264630405	0.024028827109427695	50	715	-2839.611008834701	-382.3114411567301	155	97	1.3582400466764628	2.8688337497416043	0.22680648306483825	0.2735214816798308	0.2826944721263008	0.21697756312903022	13.576069182694447	8.972620179574005	155	0.6609144413473891	97	-3172.7256795098747	-333.1146706751738
58	-2849.240765581751	55	731	1.7353525450626919	0.027723575230252113	55	731	-2849.240765581751	-418.2880044148161	158	108	1.4150974397900689	2.6459644309346086	0.23202760513791515	0.2282649265170066	0.32434311324287785	0.2153643551022004	10.64381553836096	7.735991134716816	158	0.7268062009188183	108	-3222.622878331694	-373.3821127499431
59	-2827.633134158882	58	722	1.733877818739432	0.030142059137332356	58	722	-2827.633134158882	-430.1676737997536	158	107	1.1007547039110575	1.9811971950241063	0.2506353671394631	0.24657093550849976	0.27015791171907466	0.23263578563296253	7.963831245009579	7.071376690436217	158	0.8879365311598478	107	-3218.22408553931	-390.5909513804279
60	-2830.150671952685	61	715	2.00794300316191	0.02732427682758885	61	715	-2830.150671952685	-453.5233936977925	167	125	1.2783236516241319	2.0393634738797255	0.26468193595178574	0.22806974658357426	0.2754465787224731	0.23180173874216697	6.479954265080585	7.779395190732298	167	1.2005324223743656	125	-3257.5515139747486	-427.40084202206344
61	-2825.1972814862293	57	713	2.015585935040006	0.031775647290181494	57	713	-2825.1972814862293	-423.8575584688613	155	105	1.1785524916027805	2.1570451037995126	0.26468193595178574	0.22806974658357426	0.2754465787224731	0.23180173874216697	10.095075187455791	7.691567569492121	155	0.761912856186521	105	-3202.225026639365	-377.0277451531354
62	-2850.244451248919	57	726	1.901520172128625	0.02871655884612605	57	726	-2850.244451248919	-409.9276360673012	154	101	1.4216252340767301	2.2287968753217187	0.25443298371884254	0.2579602499380224	0.26478080050114217	0.22282596584199288	9.57370140878289	7.6905770102480675	154	0.803302367796091	101	-3211.4059087513124	-361.16145750239326
63	-2795.7613376337977	68	697	1.8346908884964683	0.03149325987799363	68	697	-2795.7613376337977	-483.10587799421734	165	122	1.5744481818124567	2.6272863727577263	0.2658866729506106	0.2509702628334973	0.2535381739580039	0.22960489025788822	6.945062883032029	7.576565943470091	165	1.0909283430652488	122	-3246.8102923584397	-451.04895472464193
64	-2815.983381427341	63	704	1.6917066147344297	0.03723962517903516	63	704	-2815.983381427341	-454.57029942562053	162	115	1.6714955990161429	2.408430166030255	0.2681858982768187	0.26294745220361043	0.23727627660155617	0.23159037291801476	8.670285117145434	7.8110499239091045	162	0.9008988537715792	115	-3226.1356345372583	-410.15225310991735
65	-2817.152423321569	63	705	1.810711178080929	0.03600578532333873	63	705	-2817.152423321569	-453.35348893745976	161	114	1.2023175340782237	2.6320286900391148	0.25787550346216687	0.2528384492129772	0.26866177754631976	0.22062426977853622	7.4838610375745205	8.118860554091043	161	1.0848491859119718	114	-3239.0041746530187	-421.8517513314497
66	-2819.2798811772336	59	718	1.8311523008900834	0.03481911732484848	59	718	-2819.2798811772336	-426.99053302501625	155	106	1.2913850110323348	2.4744443869718076	0.26152482961293205	0.2422649897353368	0.2724637456950884	0.2237464349566428	8.312730534169448	7.607258970692362	155	0.9151335941208188	106	-3208.1307796963642	-388.8508985191305
